AbduceStrategy,Case,ChanceAnd,ChanceSplit,ChangePct,ChangedRatioMin,Changes,Explained,ExplainedPct,ExplainedRatioMax,Inconsistent,Microseconds,Nodes,Same,Strategy,Strokes,WhiteStrategy
rand,0,0.75,0.25,33.33333333333333,1.0,1,1,100.0,1.0,0,478710,3,true,rand_min-ancestors,4,min-ancestors
min-in-degree,0,0.75,0.25,33.33333333333333,1.0,1,1,100.0,1.0,0,636803,3,true,min-in-degree_min-ancestors,4,min-ancestors
max-in-degree,0,0.75,0.25,33.33333333333333,1.0,1,1,100.0,1.0,0,609855,3,true,max-in-degree_min-ancestors,4,min-ancestors
min-ancestors,0,0.75,0.25,33.33333333333333,1.0,1,1,100.0,1.0,0,1105418,3,true,min-ancestors_min-ancestors,4,min-ancestors
max-ancestors,0,0.75,0.25,33.33333333333333,1.0,1,1,100.0,1.0,0,464750,3,true,max-ancestors_min-ancestors,4,min-ancestors
min-anc-max-in-deg,0,0.75,0.25,33.33333333333333,1.0,1,1,100.0,1.0,0,1039187,3,true,min-anc-max-in-deg_min-ancestors,4,min-ancestors
max-in-deg-min-anc,0,0.75,0.25,33.33333333333333,1.0,1,1,100.0,1.0,0,680666,3,true,max-in-deg-min-anc_min-ancestors,4,min-ancestors
min-anc-min-in-deg,0,0.75,0.25,33.33333333333333,1.0,1,1,100.0,1.0,0,1026648,3,true,min-anc-min-in-deg_min-ancestors,4,min-ancestors
min-in-deg-min-anc,0,0.75,0.25,33.33333333333333,1.0,1,1,100.0,1.0,0,675869,3,true,min-in-deg-min-anc_min-ancestors,4,min-ancestors
rand,1,0.75,0.25,83.33333333333333,1.0,5,1,100.0,1.0,0,736299,6,true,rand_min-ancestors,9,min-ancestors
min-in-degree,1,0.75,0.25,83.33333333333333,1.0,5,1,100.0,1.0,0,688226,6,true,min-in-degree_min-ancestors,9,min-ancestors
max-in-degree,1,0.75,0.25,83.33333333333333,1.0,5,1,100.0,1.0,0,611394,6,true,max-in-degree_min-ancestors,9,min-ancestors
min-ancestors,1,0.75,0.25,83.33333333333333,1.0,5,1,100.0,1.0,0,978916,6,true,min-ancestors_min-ancestors,9,min-ancestors
max-ancestors,1,0.75,0.25,83.33333333333333,1.0,5,1,100.0,1.0,0,640133,6,true,max-ancestors_min-ancestors,9,min-ancestors
min-anc-max-in-deg,1,0.75,0.25,83.33333333333333,1.0,5,1,100.0,1.0,0,838809,6,true,min-anc-max-in-deg_min-ancestors,9,min-ancestors
max-in-deg-min-anc,1,0.75,0.25,83.33333333333333,1.0,5,1,100.0,1.0,0,678903,6,true,max-in-deg-min-anc_min-ancestors,9,min-ancestors
min-anc-min-in-deg,1,0.75,0.25,83.33333333333333,1.0,5,1,100.0,1.0,0,945563,6,true,min-anc-min-in-deg_min-ancestors,9,min-ancestors
min-in-deg-min-anc,1,0.75,0.25,83.33333333333333,1.0,5,1,100.0,1.0,0,636552,6,true,min-in-deg-min-anc_min-ancestors,9,min-ancestors
